hour,ride_count,anomaly
2019-01-23 02:00:00,1406,1
2019-01-23 03:00:00,1101,1
2019-01-23 04:00:00,1218,1
2019-01-23 05:00:00,2669,1
2019-01-23 06:00:00,7352,1
2019-01-23 07:00:00,13520,1
2019-01-23 08:00:00,15786,1
2019-01-23 09:00:00,14218,1
2019-01-23 10:00:00,12589,1
2019-01-23 11:00:00,12931,1
2019-01-23 12:00:00,13527,1
2019-01-23 13:00:00,13415,1
2019-01-23 14:00:00,14338,1
2019-01-23 15:00:00,14584,1
2019-01-23 16:00:00,13500,1
2019-01-23 17:00:00,15537,1
2019-01-23 18:00:00,17586,1
2019-01-23 19:00:00,16499,1
2019-01-23 20:00:00,15421,1
2019-01-23 21:00:00,15018,1
2019-01-23 22:00:00,13745,1
2019-01-23 23:00:00,8626,1
2019-01-24 00:00:00,5400,1
2019-01-24 01:00:00,2937,1
2019-01-24 02:00:00,1741,1
2019-01-24 03:00:00,1326,1
2019-01-24 04:00:00,1373,1
2019-01-24 05:00:00,2773,1
2019-01-24 06:00:00,7986,1
2019-01-24 07:00:00,13950,1
2019-01-24 08:00:00,16289,1
2019-01-24 09:00:00,14616,1
2019-01-24 10:00:00,14065,1
2019-01-24 11:00:00,13580,1
2019-01-24 12:00:00,13335,1
2019-01-24 13:00:00,13085,1
2019-01-24 14:00:00,15074,1
2019-01-24 15:00:00,15266,1
2019-01-24 16:00:00,13833,1
2019-01-24 17:00:00,15963,1
2019-01-24 18:00:00,18654,-1
2019-01-24 19:00:00,18129,1
2019-01-24 20:00:00,17211,1
2019-01-24 21:00:00,17519,1
2019-01-24 22:00:00,16075,1
2019-01-24 23:00:00,11779,1
2019-01-25 00:00:00,7649,1
2019-01-25 01:00:00,4629,1
2019-01-25 02:00:00,2697,1
2019-01-25 03:00:00,1802,1
2019-01-25 04:00:00,1805,1
2019-01-25 05:00:00,2838,1
2019-01-25 06:00:00,7223,1
2019-01-25 07:00:00,12737,1
2019-01-25 08:00:00,15180,1
2019-01-25 09:00:00,13605,1
2019-01-25 10:00:00,12885,1
2019-01-25 11:00:00,12777,1
2019-01-25 12:00:00,13817,1
2019-01-25 13:00:00,14224,1
2019-01-25 14:00:00,16003,1
2019-01-25 15:00:00,16097,1
2019-01-25 16:00:00,15030,1
2019-01-25 17:00:00,17474,1
2019-01-25 18:00:00,20074,-1
2019-01-25 19:00:00,19879,-1
2019-01-25 20:00:00,16692,1
2019-01-25 21:00:00,15628,1
2019-01-25 22:00:00,16275,1
2019-01-25 23:00:00,15479,1
2019-01-26 00:00:00,12724,1
2019-01-26 01:00:00,9913,1
2019-01-26 02:00:00,7911,1
2019-01-26 03:00:00,5672,1
2019-01-26 04:00:00,3585,1
2019-01-26 05:00:00,1919,1
2019-01-26 06:00:00,2843,1
2019-01-26 07:00:00,4440,1
2019-01-26 08:00:00,7120,1
2019-01-26 09:00:00,10495,1
2019-01-26 10:00:00,12696,1
2019-01-26 11:00:00,13512,1
2019-01-26 12:00:00,14602,1
2019-01-26 13:00:00,15091,1
2019-01-26 14:00:00,14385,1
2019-01-26 15:00:00,15220,1
2019-01-26 16:00:00,14514,1
2019-01-26 17:00:00,15640,1
2019-01-26 18:00:00,17092,1
2019-01-26 19:00:00,17132,1
2019-01-26 20:00:00,13005,1
2019-01-26 21:00:00,13190,1
2019-01-26 22:00:00,14729,1
2019-01-26 23:00:00,14563,1
2019-01-27 00:00:00,13221,1
2019-01-27 01:00:00,11497,1
2019-01-27 02:00:00,9291,1
2019-01-27 03:00:00,6846,1
2019-01-27 04:00:00,4034,1
2019-01-27 05:00:00,1798,1
2019-01-27 06:00:00,2272,1
2019-01-27 07:00:00,3328,1
2019-01-27 08:00:00,5130,1
2019-01-27 09:00:00,7561,1
2019-01-27 10:00:00,10840,1
2019-01-27 11:00:00,11922,1
2019-01-27 12:00:00,13149,1
2019-01-27 13:00:00,13308,1
2019-01-27 14:00:00,13802,1
2019-01-27 15:00:00,13647,1
2019-01-27 16:00:00,12848,1
2019-01-27 17:00:00,13093,1
2019-01-27 18:00:00,12537,1
2019-01-27 19:00:00,10731,1
2019-01-27 20:00:00,8934,1
2019-01-27 21:00:00,8449,1
2019-01-27 22:00:00,7169,1
2019-01-27 23:00:00,5044,1
2019-01-28 00:00:00,3203,1
2019-01-28 01:00:00,1721,1
2019-01-28 02:00:00,1120,1
2019-01-28 03:00:00,942,1
2019-01-28 04:00:00,1205,1
2019-01-28 05:00:00,2835,1
2019-01-28 06:00:00,7290,1
2019-01-28 07:00:00,12455,1
2019-01-28 08:00:00,14857,1
2019-01-28 09:00:00,13180,1
2019-01-28 10:00:00,11664,1
2019-01-28 11:00:00,11617,1
2019-01-28 12:00:00,12320,1
2019-01-28 13:00:00,12382,1
2019-01-28 14:00:00,13615,1
2019-01-28 15:00:00,14723,1
2019-01-28 16:00:00,13526,1
2019-01-28 17:00:00,15446,1
2019-01-28 18:00:00,17434,1
2019-01-28 19:00:00,15504,1
2019-01-28 20:00:00,14408,1
2019-01-28 21:00:00,13114,1
2019-01-28 22:00:00,10195,1
2019-01-28 23:00:00,6284,1
2019-01-29 00:00:00,3833,1
2019-01-29 01:00:00,2013,1
2019-01-29 02:00:00,1177,1
2019-01-29 03:00:00,910,1
2019-01-29 04:00:00,1098,1
2019-01-29 05:00:00,2663,1
2019-01-29 06:00:00,7339,1
2019-01-29 07:00:00,13363,1
2019-01-29 08:00:00,15498,1
